,0,1,2,3,4,5,6,7,8,9
39,37i9dQZF1DXcBWIGoYBM5M,6PQ88X9TkUIAUIZJHW2upE,0.808,0.897,0.0348,0.0469,3.14e-05,0.364,0.591,126.026
40,37i9dQZF1DXcBWIGoYBM5M,1shKa7wLElW8CrbHOJk85M,0.544,0.786,0.0501,0.00991,0.0,0.169,0.446,153.967
41,37i9dQZF1DXcBWIGoYBM5M,3IAfUEeaXRX9s9UdKOJrFI,0.812,0.736,0.0833,0.152,0.00254,0.0914,0.396,91.993
42,37i9dQZF1DXcBWIGoYBM5M,0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,0.046,0.0206,0.0,0.0754,0.571,114.071
43,37i9dQZF1DXcBWIGoYBM5M,32BeYxKPrig1LefHsC0Xuo,0.334,0.599,0.0365,0.0468,0.000392,0.205,0.127,161.74
44,37i9dQZF1DXcBWIGoYBM5M,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,0.0707,0.304,0.0,0.0926,0.194,130.041
45,37i9dQZF1DXcBWIGoYBM5M,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
46,37i9dQZF1DXcBWIGoYBM5M,1HvTxgCj0mTzQlEo0zLvFb,0.684,0.545,0.121,0.159,0.0,0.102,0.407,143.049
47,37i9dQZF1DXcBWIGoYBM5M,6PERP62TejQjgHu81OHxgM,0.556,0.661,0.204,0.3,0.0,0.101,0.668,168.56
48,37i9dQZF1DXcBWIGoYBM5M,6Z165JvPnS8PYvGW8oLGLc,0.684,0.449,0.611,0.869,0.0,0.0881,0.341,66.165
49,37i9dQZF1DXcBWIGoYBM5M,3FeVmId7tL5YN8B7R3imoM,0.588,0.701,0.0402,0.00813,0.0,0.2,0.443,104.988
0,37i9dQZF1DX0XUsuxWHRQd,2FeBslNBMdR9V58uv6hd2t,0.79,0.67,0.105,0.377,2.32e-06,0.119,0.408,139.956
1,37i9dQZF1DX0XUsuxWHRQd,7DwcBgdzqhFJltEaV1XF81,0.669,0.773,0.153,0.038,0.0,0.113,0.377,93.923
2,37i9dQZF1DX0XUsuxWHRQd,5qgFgsrrxOjyPmX5YCuK2E,0.883,0.657,0.305,0.0603,0.0,0.128,0.284,124.992
3,37i9dQZF1DX0XUsuxWHRQd,3tYTyAt1q6BFBiGyYVOLhi,0.907,0.577,0.0767,0.438,3.19e-05,0.137,0.801,140.07
4,37i9dQZF1DX0XUsuxWHRQd,6ws54n2IzyrIxxyzlG2bVJ,0.535,0.618,0.382,0.0245,0.0,0.103,0.211,165.991
5,37i9dQZF1DX0XUsuxWHRQd,7ohROa13QK43JBRqfCmz4P,0.795,0.526,0.204,0.067,2e-06,0.134,0.194,140.037
6,37i9dQZF1DX0XUsuxWHRQd,3BN9oswkyJlCRzCQt1Gqug,0.775,0.5,0.345,0.0167,0.0,0.111,0.401,148.926
7,37i9dQZF1DX0XUsuxWHRQd,6wyhUr4Xw8z5uSy0AhoZfU,0.773,0.707,0.0568,0.0103,1.04e-05,0.296,0.113,76.977
8,37i9dQZF1DX0XUsuxWHRQd,0YeUVm23SAkUruwEx9LWnt,0.605,0.692,0.446,0.495,0.0,0.303,0.685,124.84
9,37i9dQZF1DX0XUsuxWHRQd,0LnS7aOdOdI1dNKZqdOLz4,0.833,0.652,0.0762,0.00161,0.0985,0.106,0.405,158.022
10,37i9dQZF1DX0XUsuxWHRQd,1dp8aQANyTRKssDeAYPiZe,0.594,0.679,0.345,0.484,7.83e-06,0.114,0.66,106.726
11,37i9dQZF1DX0XUsuxWHRQd,3ihIZrJreMJPjQdNLrEXnP,0.643,0.605,0.297,0.0336,0.0,0.112,0.145,84.216
12,37i9dQZF1DX0XUsuxWHRQd,1NVp7VnSVUJalgIBCIkh0w,0.863,0.499,0.514,0.0758,0.0,0.104,0.76,80.073
13,37i9dQZF1DX0XUsuxWHRQd,3EMp20j5E42MxfFbsEsIvD,0.71,0.522,0.36,0.615,0.0,0.11,0.37,96.448
14,37i9dQZF1DX0XUsuxWHRQd,5mt882Eqx22RwFOTE01jS8,0.825,0.234,0.495,0.235,9.54e-06,0.0696,0.18,77.487
15,37i9dQZF1DX0XUsuxWHRQd,3gOL6mYIq19Oq8raxIntrV,0.741,0.788,0.2,0.00119,0.0,0.0957,0.307,160.03
16,37i9dQZF1DX0XUsuxWHRQd,6yiKdWLeX8pgmEHzClUEXn,0.73,0.738,0.176,0.272,0.0,0.125,0.788,127.014
17,37i9dQZF1DX0XUsuxWHRQd,5KcZNsrl7PMIxJ2xBbTwH3,0.752,0.617,0.0544,0.0319,0.0,0.261,0.137,144.006
18,37i9dQZF1DX0XUsuxWHRQd,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,0.102,0.0254,9.71e-06,0.113,0.324,106.998
19,37i9dQZF1DX0XUsuxWHRQd,19n0UZuW8AArMVWNztoXu9,0.514,0.65,0.499,0.138,0.0,0.103,0.236,127.428
20,37i9dQZF1DX0XUsuxWHRQd,31xA2Iti4kb3aMiX75e8Y5,0.664,0.559,0.075,0.139,0.0,0.303,0.548,153.95
21,37i9dQZF1DX0XUsuxWHRQd,7Fege3yv4dvehB3NdRBGwI,0.793,0.308,0.0466,0.613,1.68e-05,0.0953,0.46,135.143
22,37i9dQZF1DX0XUsuxWHRQd,1wNdGz7BlB9kH5lDc1eLLb,0.732,0.672,0.148,0.0642,0.0,0.121,0.16,137.03
23,37i9dQZF1DX0XUsuxWHRQd,6r9xnueU24r4eoG3HXC87E,0.807,0.625,0.351,0.0741,0.0,0.487,0.871,146.031
24,37i9dQZF1DX0XUsuxWHRQd,3p4YmRsO7aOu8PUbwdN3OB,0.905,0.724,0.237,0.00813,0.0,0.329,0.361,136.982
25,37i9dQZF1DX0XUsuxWHRQd,02WDt2eCNOU2mt0DF5w678,0.677,0.558,0.177,0.167,0.0,0.365,0.384,144.485
26,37i9dQZF1DX0XUsuxWHRQd,7IBLt4Qarf4JDLxIQDv2O5,0.727,0.616,0.338,0.542,4.47e-06,0.482,0.392,140.014
27,37i9dQZF1DX0XUsuxWHRQd,1HvTxgCj0mTzQlEo0zLvFb,0.684,0.545,0.121,0.159,0.0,0.102,0.407,143.049
28,37i9dQZF1DX0XUsuxWHRQd,0aJMggmjMva3QFnAbmM2U9,0.6,0.617,0.117,0.0277,0.0,0.253,0.168,145.805
