order,playlist_id,track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
29,3Yh5yGybMQfcATrOXaRVyu,4MzGM692jKGkNSQ7qzeTaJ,0.609,0.674,0.0355,0.00378,0.000302,0.129,0.743,127.541
30,3Yh5yGybMQfcATrOXaRVyu,2b31hlAp29QNuvy8IcG7bi,0.493,0.866,0.0687,0.000261,0.00762,0.364,0.663,137.939
31,3Yh5yGybMQfcATrOXaRVyu,4NwJWJ7rIZBnv8TwNRhGG2,0.697,0.877,0.0462,0.462,0.00943,0.083,0.802,101.99
32,3Yh5yGybMQfcATrOXaRVyu,2O6r4Ws85Gb5pw0KDYGAZv,0.427,0.868,0.0559,0.000249,0.000542,0.0633,0.39,133.059
33,3Yh5yGybMQfcATrOXaRVyu,7lN6IZmrJEDQUGKXPFQ09q,0.662,0.565,0.0467,0.0017,0.0155,0.307,0.555,142.971
34,3Yh5yGybMQfcATrOXaRVyu,3JVeAGZGBBelR1s0P9Vm9z,0.469,0.824,0.0447,0.000286,0.000968,0.0675,0.306,148.025
35,3Yh5yGybMQfcATrOXaRVyu,7hAd2B6eTB7io4jPjKXCMP,0.447,0.856,0.0587,0.000148,0.152,0.295,0.488,149.808
36,3Yh5yGybMQfcATrOXaRVyu,6bsYM7B72YM9IaLdPBAu7I,0.716,0.91,0.12,0.15,0.0,0.0796,0.686,129.962
37,3Yh5yGybMQfcATrOXaRVyu,3GncyQAqKMwlSVhyM31Lsu,0.546,0.84,0.0512,0.0148,7.69e-06,0.101,0.925,170.058
38,3Yh5yGybMQfcATrOXaRVyu,4Apb2973gEJGCWU8k7ITTj,0.316,0.77,0.0425,2.49e-05,0.000368,0.0866,0.41,155.113
39,3Yh5yGybMQfcATrOXaRVyu,4vYoE3lwKLJ2sRG6vYQBNr,0.444,0.698,0.0523,0.000276,0.044,0.399,0.268,127.981
40,3Yh5yGybMQfcATrOXaRVyu,134Q7X8fZoIjXAWClCipoC,0.224,0.693,0.0484,0.00101,0.0759,0.637,0.274,136.103
41,3Yh5yGybMQfcATrOXaRVyu,63EMriEemr9tzaQQB2eCMb,0.503,0.851,0.0527,0.000414,0.0179,0.151,0.388,141.966
42,3Yh5yGybMQfcATrOXaRVyu,3kb72STxc2959ZqsTwu52i,0.634,0.849,0.105,0.0438,0.0,0.363,0.919,156.004
43,3Yh5yGybMQfcATrOXaRVyu,7pMVB2oz4Q4SlfTvvevNro,0.678,0.556,0.0281,0.0904,0.0334,0.0866,0.405,85.158
44,3Yh5yGybMQfcATrOXaRVyu,12sYWro0wGQpq0rjE0lKcm,0.457,0.613,0.0295,0.00463,0.000441,0.0711,0.132,105.11
45,3Yh5yGybMQfcATrOXaRVyu,1K66si1ZELsRZzg7m7mcps,0.579,0.88,0.0633,0.00607,1.16e-06,0.268,0.632,128.047
46,3Yh5yGybMQfcATrOXaRVyu,3e0yTP5trHBBVvV32jwXqF,0.472,0.844,0.054,0.00173,0.0,0.24,0.34,140.034
47,3Yh5yGybMQfcATrOXaRVyu,0aGSUNleFqs5HNEJcwqvXJ,0.468,0.692,0.0295,0.0202,2.39e-06,0.523,0.561,78.009
48,3Yh5yGybMQfcATrOXaRVyu,6E1BsEYKV3ig4A29eZIW2w,0.317,0.571,0.0313,0.0413,0.84,0.0931,0.217,154.434
49,3Yh5yGybMQfcATrOXaRVyu,5OWZ4qbW7bYQTGIKRbSvxA,0.641,0.688,0.0318,0.00653,3.27e-06,0.178,0.495,97.973
50,3Yh5yGybMQfcATrOXaRVyu,3RRRDZig4RNJhVGfwwOOFZ,0.48,0.826,0.0397,0.000797,1.01e-06,0.125,0.687,96.0
51,3Yh5yGybMQfcATrOXaRVyu,76EeScTnI2sCjDY0SfEoSb,0.421,0.831,0.106,0.0283,0.0,0.464,0.488,134.184
52,3Yh5yGybMQfcATrOXaRVyu,1Yi8XPnCPoimWwqxwm3uz9,0.481,0.765,0.0388,0.00381,0.000737,0.119,0.465,102.829
53,3Yh5yGybMQfcATrOXaRVyu,1xa5lmjPwKj1LVXpxM7HHW,0.528,0.858,0.0493,0.00118,1.56e-06,0.282,0.219,100.032
54,3Yh5yGybMQfcATrOXaRVyu,2tznHmp70DxMyr2XhWLOW0,0.636,0.676,0.0263,0.0807,0.0,0.0831,0.273,113.98
